Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,250154972,3209.3614309297595,3159760,40.53811840683547,370007,5054267,64.84368246504835,49400,0.633776948026963,6183,
United States of America,Americas,46193234,13955.548,514756,155.514,46558,748615,226.166,8249,2.492,658
India,South-East Asia,34377113,2491.087,80876,5.861,10126,461389,33.434,2509,0.182,332
Brazil,Americas,21880439,10293.799,69584,32.736,6115,609447,286.718,1623,0.764,59
The United Kingdom,Europe,9333895,13749.366,236580,348.496,31982,141862,208.971,1190,1.753,57
Russian Federation,Europe,8873655,6080.575,280455,192.179,39160,249215,170.772,8344,5.718,1211
Turkey,Europe,8259503,9793.211,197837,234.573,27824,72314,85.742,1486,1.762,187
France,Europe,6994575,10754.373,49169,75.599,1958,115526,177.625,248,0.381,112
Iran (Islamic Republic of),Eastern Mediterranean,5996155,7138.879,61660,73.411,8341,127439,151.726,983,1.17,140
Argentina,Americas,5296781,11719.638,7974,17.643,0,116104,256.891,154,0.341,0
Spain,Europe,5032057,10631.268,5373,11.352,0,87558,184.985,13,0.027,0
Colombia,Americas,5015042,9856.048,12655,24.871,2061,127533,250.64,252,0.495,45
Italy,Europe,4812591,8069.2,37808,63.392,4544,132423,222.032,303,0.508,32
Germany,Europe,4804378,5776.804,186357,224.076,21832,96727,116.305,894,1.075,169
Indonesia,South-East Asia,4248843,1553.373,3470,1.269,434,143578,52.492,121,0.044,21
Mexico,Americas,3826786,2968.048,19575,15.182,1382,289734,224.717,1369,1.062,60
Poland,Europe,3125179,8233.225,90511,238.45,13645,77980,205.437,959,2.526,220
Ukraine,Europe,3107489,7105.47,151796,347.091,18988,73390,167.811,4663,10.662,833
South Africa,Africa,2924072,4930.259,1850,3.119,116,89352,150.656,173,0.292,20
Philippines,Western Pacific,2805294,2560.017,14941,13.635,2087,44521,40.628,1245,1.136,91
Malaysia,Western Pacific,2510852,7757.684,34584,106.853,4543,29349,90.678,374,1.156,58
Netherlands,Europe,2212814,12711.781,73209,420.558,11848,18583,106.752,161,0.925,22
Peru,Americas,2207510,6695.135,5714,17.33,954,200438,607.906,192,0.582,29
Iraq,Eastern Mediterranean,2064011,5131.485,7610,18.92,1148,23372,58.107,176,0.438,28
Thailand,South-East Asia,1982495,2840.252,54732,78.413,6904,19764,28.315,426,0.61,61
Czechia,Europe,1828440,17097.909,55042,514.703,9253,31173,291.502,282,2.637,22
Canada,Americas,1727686,4577.603,11127,29.482,0,29132,77.187,162,0.429,0
Japan,Western Pacific,1724319,1363.352,1353,1.07,119,18313,14.479,38,0.03,3
Chile,Americas,1711442,8952.835,14656,76.668,2253,37879,198.151,102,0.534,17
Romania,Europe,1711137,8852.767,56113,290.307,4255,50996,263.834,2923,15.122,241
Bangladesh,South-East Asia,1571434,954.181,1452,0.882,206,27904,16.943,31,0.019,3
Belgium,Europe,1438830,12487.199,50763,440.558,7,26200,227.382,126,1.094,3
Israel,Europe,1334917,15422.687,3615,41.765,564,8124,93.859,17,0.196,0
Pakistan,Eastern Mediterranean,1277160,578.182,3600,1.63,449,28547,12.923,91,0.041,9
Serbia,Europe,1187373,17141.96,38728,559.111,4348,10472,151.183,454,6.554,67
Sweden,Europe,1177094,11397.568,3466,33.561,0,15057,145.794,7,0.068,0
Portugal,Europe,1098125,10665.644,6983,67.823,568,18209,176.857,47,0.456,6
Kazakhstan,Europe,1030911,5490.372,9459,50.376,925,17364,92.476,189,1.007,34
Viet Nam,Western Pacific,976672,1003.376,49952,51.318,7988,22598,23.216,463,0.476,67
Cuba,Americas,956452,8444.287,3818,33.708,471,8265,72.97,25,0.221,3
Morocco,Eastern Mediterranean,947451,2566.883,1168,3.164,55,14721,39.883,43,0.116,8
Hungary,Europe,914586,9361.621,38089,389.876,4588,31521,322.646,601,6.152,123
Switzerland,Europe,890312,10287.132,13995,161.706,4,10846,125.32,13,0.15,0
Austria,Europe,889379,9991.828,56717,637.193,7975,11213,125.974,96,1.079,13
Jordan,Eastern Mediterranean,878366,8608.786,13705,134.321,2562,11145,109.231,93,0.911,17
Nepal,South-East Asia,815372,2798.426,1939,6.655,443,11454,39.311,27,0.093,1
Greece,Europe,792239,7391.279,44644,416.511,7335,16361,152.642,371,3.461,66
Georgia,Europe,761067,19078.306,34126,855.465,6021,10584,265.318,448,11.23,75
United Arab Emirates,Eastern Mediterranean,740500,7487.057,517,5.227,68,2142,21.657,6,0.061,2
Tunisia,Eastern Mediterranean,713352,6035.832,576,4.874,44,25281,213.908,37,0.313,5
Lebanon,Eastern Mediterranean,646869,9477.316,4644,68.04,240,8551,125.281,42,0.615,5
Bulgaria,Europe,638048,9178.59,29549,425.075,5286,25408,365.505,1099,15.81,334
Belarus,Europe,615814,6517.019,13756,145.577,1887,4758,50.353,112,1.185,13
Guatemala,Americas,605749,3381.132,4092,22.84,0,15474,86.372,337,1.881,0
Costa Rica,Americas,562316,11038.535,2618,51.393,0,7134,140.044,105,2.061,0
Saudi Arabia,Eastern Mediterranean,548973,1576.88,307,0.882,43,8805,25.292,9,0.026,1
Azerbaijan,Europe,548591,5410.608,16021,158.011,1310,7293,71.929,192,1.894,24
Sri Lanka,South-East Asia,545935,2549.52,3723,17.386,0,13856,64.708,86,0.402,0
Slovakia,Europe,526608,9648.594,38692,708.921,4958,13314,243.941,238,4.361,45
Ecuador,Americas,519386,2943.855,2124,12.039,0,32989,186.98,9,0.051,0
Bolivia (Plurinational State of),Americas,518266,4439.862,4456,38.173,364,18967,162.486,39,0.334,3
Myanmar,South-East Asia,507815,933.315,5791,10.643,0,18839,34.624,111,0.204,0
Croatia,Europe,502569,12384.144,31095,766.233,1242,9546,235.229,295,7.269,46
Panama,Americas,473416,10971.995,752,17.429,113,7329,169.859,14,0.324,4
Ireland,Europe,472547,9518.637,24098,485.412,3161,5492,110.627,56,1.128,0
Paraguay,Americas,461361,6468.399,320,4.486,48,16263,228.011,16,0.224,4
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,455949,8937.698,1777,34.833,260,4731,92.739,42,0.823,7
Lithuania,Europe,430855,15420.226,18086,647.295,2314,6175,221.002,239,8.554,40
Venezuela (Bolivarian Republic of),Americas,413135,1452.862,5984,21.044,663,4965,17.46,74,0.26,10
Kuwait,Eastern Mediterranean,412869,9667.77,161,3.77,25,2462,57.65,0,0,0
Denmark,Europe,404855,6952.971,15615,268.172,2294,2740,47.057,24,0.412,2
Uruguay,Americas,395268,11378.777,1369,39.41,169,6086,175.201,8,0.23,1
Dominican Republic,Americas,389090,3586.774,6614,60.97,925,4153,38.284,20,0.184,3
Republic of Korea,Western Pacific,383407,747.831,15434,30.104,1715,2998,5.848,124,0.242,18
